Hand_ID,Total_Bet,Total_Won,Net_Result,Total
RC3209298626,0.05,0.0,-0.05,4.78
RC3209298557,0.1,0.15000000000000002,0.05000000000000002,4.83
RC3209298498,0.0,0.0,0.0,4.83
RC3209298476,0.0,0.0,0.0,4.83
RC3209298441,0.0,0.0,0.0,4.83
RC3209298356,0.25,0.4,0.15000000000000002,4.98
RC3209298306,0.05,0.0,-0.05,4.93
RC3209297913,3.68,5.13,1.4499999999999997,6.38
RC3209297888,0.0,0.0,0.0,6.38
RC3209297848,0.0,0.0,0.0,6.38
RC3209297754,0.05,0.0,-0.05,6.33
RC3209297624,0.1,0.0,-0.1,6.23
RC3209297586,0.0,0.0,0.0,6.23
RC3209297485,0.0,0.0,0.0,6.23
RC3209297457,0.0,0.0,0.0,6.23
RC3209297369,0.25,0.4,0.15000000000000002,6.38
RC3209297302,0.0,0.0,0.0,6.38
RC3209297237,0.05,0.0,-0.05,6.33
RC3209297166,0.1,0.15000000000000002,0.05000000000000002,6.38
RC3209297108,0.0,0.0,0.0,6.38
RC3209297081,0.0,0.0,0.0,6.38
RC3209296987,0.0,0.0,0.0,6.38
RC3209296959,0.0,0.0,0.0,6.38
RC3209296854,0.25,0.4,0.15000000000000002,6.53
RC3209296766,0.3,0.4,0.10000000000000003,6.63
RC3209296659,0.1,0.0,-0.1,6.53
RC3209296497,0.25,0.0,-0.25,6.28
RC3209296471,0.0,0.0,0.0,6.28
RC3209296443,0.0,0.0,0.0,6.28
RC3209296417,0.0,0.0,0.0,6.28
RC3209296310,0.3,0.4,0.10000000000000003,6.38
RC3209296212,0.1,0.0,-0.1,6.28
RC3209296189,0.0,0.0,0.0,6.28
RC3209296161,0.0,0.0,0.0,6.28
RC3209296111,0.0,0.0,0.0,6.28
RC3209296044,0.05,0.0,-0.05,6.23
RC3209295704,0.2,0.0,-0.2,6.03
RC3209295655,0.25,0.4,0.15000000000000002,6.18
RC3209295612,0.0,0.0,0.0,6.18
RC3209295537,0.25,0.4,0.15000000000000002,6.33
RC3209295507,0.0,0.0,0.0,6.33
RC3209295442,0.1,0.0,-0.1,6.23
